Features Summary
Feature	Description
🔍 Full Page Scan	Extracts from <a>, <img>, <video>, <audio>, <source>, <iframe>, <embed>, <link>, <script>, CSS backgrounds, srcset, data-* attributes
🏷️ Type Filtering	Images, Videos, Audio, Documents, Archives, Executables, Custom
🔎 Search	Real-time search/filter within results
☑️ Selection	Select individual or all links
📋 Copy	Copy single, selected, or all URLs to clipboard
⬇️ Download	Download individual or batch files
💾 Export	Export all links as a .txt file
🎨 Dark UI	Clean, modern dark theme
🏷️ Badges	Color-coded file type badges
🔄 Deduplication	Automatic removal of duplicate URLs
